ID	Описание	Реализация	Пункт в ТТ
FR-RPT-CC-11	отчеты должны быть доступны в разных форматах (.xlsx, .pdf) и содержать сводные данные по каналам, качеству обслуживания и показателям LLM, чтобы их можно было использовать для улучшения клиентского сервиса.	Сводный управленческий отчёт. Состав: объём обращений по каналам; показатели качества обслуживания; показатели LLM (релевантность, полезность, ошибки); производительность LLM (среднее/макс. время отклика, задержки) за период. Форматы выгрузки: .xlsx, .pdf, .csv, .docx (и .png для диаграмм — см. FR-RPT-CC-22). Фильтры: период, канал. Назначение: улучшение клиентского сервиса. Приёмка: UC-REP-CC-01, RPT-T-09.	4.7.4.4.1
FR-RPT-CC-12	Закономерности: Модуль Контакт-центра должен анализировать тематику обращений за заданный промежуток времени и в режиме реального времени отображать на дашборде или отправлять уведомления о повторяющихся темах обращений за период.	Готовый отчёт/блок «Повторяющиеся темы обращений» (не про маршрутизацию). Назначение: отследить возрастающую нагрузку по тематике. Показатели: число обращений по тематике; топ повторяющихся тем; динамика роста. Формула: доля тематики = число обращений тематики / все обращения за период × 100%; рост = сравнение с предыдущим периодом. На дашборде — real-time отображение; при превышении порога — автоуведомление (FR-RPT-CC-06). Фильтры: период, канал, тематика. Вид: таблица + диаграмма на дашборде. Приёмка: UC-REP-CC-01.	4.7.4.5
FR-RPT-CC-13	Отчет по количеству повторных обращений: Модуль Контакт-центра должен отображать данные о повторных обращениях с анализом их контекста (какое количество клиентов и тематика обращения).	Готовый отчёт «Повторные обращения». Назначение: сколько клиентов обращались повторно и по каким тематикам. Формулы: число повторных обращений (клиентов с ≥2 обращениями за период); доля повторных = число таких клиентов / число всех клиентов с обращениями за период × 100%. Данные/фильтры: период, канал, тематика, идентификатор клиента. Вид: сводная таблица и столбчатая диаграмма по тематикам. Периоды: день / неделя / месяц / произвольный. Приёмка: UC-REP-CC-01, RPT-T-05.	4.7.4.6
FR-RPT-CC-14	Формирование отчетов по качеству преобразования речи в текст и анализу разговоров.	Готовый отчёт «Качество ASR и анализ разговоров». Формулы: средняя уверенность ASR = сумма confidence / число реплик; доля нераспознанных = число реплик «не распознано» или confidence ниже порога / все реплики × 100%. Связь с выгрузкой нераспознанных записей (FR-RPT-CC-16 / §4.7.3.5). Фильтры: период, оператор, номер телефона, порог качества (в т.ч. успешность <90%, неразборчивые фрагменты ≥10%). Вид: таблица записей + график качества по дням; выгрузка аудио и транскрипта. Приёмка: UC-REP-CC-02, RPT-T-06.	4.7.4.7
FR-RPT-CC-15	Отчеты по диалогам: Модуль Контакт-центра должен формировать отчеты по каждому диалогу в виде отображения диалога в текстовом формате с репликами клиента и оператора канала телефония или онлайн-чата.	Готовый отчёт «Диалог в тексте». Состав: построчный журнал реплик клиента и оператора; наличие/отсутствие отметки полезности по подсказкам. Фильтры: период, канал, оператор, тематика, признак отметки полезности. Вид: текстовая лента / таблица реплик; выгрузка .xlsx / .pdf. Приёмка: UC-REP-CC-01, RPT-T-07.	4.7.4.8
FR-RPT-CC-16	модуль отчетности должен предоставлять функционал для фильтрации и выгрузки нераспознанных записей, удовлетворяющих следующим критериям: записи, где коэффициент успешности распознавания составляет менее 90%; записи, содержащие 10% процентов неразборчивых фрагментов. Интерфейс выгрузки должен позволять выбирать диапазон дат, операторов канала телефония или онлайн-чата, номера телефонов, для фильтрации нераспознанных записей. Формат выгружаемых данных должен включать аудиофайл исходной записи, время начала и окончания каждого сегмента записи, транскрипт попытки распознавания, оценку качества распознавания в процентах.	Выгрузка нераспознанных записей ASR. Фильтры: диапазон дат, оператор (телефония / онлайн-чат), номер телефона; критерии §4.7.3.5.2–3. Состав выгрузки: аудиофайл, время начала/окончания сегмента, транскрипт попытки, оценка качества %. Вид: интерфейс фильтрации + пакетная выгрузка. Приёмка: UC-REP-CC-02, RPT-T-06.	4.7.3.5
FR-RPT-CC-17	Модуль Контакт-центра должна формировать следующие настраиваемые виды отчетов: категоризация запросов пользователей и клиентов, а также ответов модуля LLM по тематикам (анализ тематики как по запросу, так и по ответу).	Готовый отчёт «Категоризация по тематикам». Формула: доля тематики = число обращений или ответов данной тематики / общее число за период × 100%. Фильтры: период, канал, тематика запроса, тематика ответа. Вид: круговая/столбчатая диаграмма + сводная таблица. Периоды: день / неделя / месяц. Приёмка: UC-REP-CC-01, RPT-T-08.	4.7.4.9.1
FR-RPT-CC-18	отчет по диалогам с галлюцинациями LLM c возможностью просмотра запросов, полученных ответов и тематики.	Готовый отчёт «Диалоги с галлюцинациями LLM». Признаки: ответ вне СУЗ, низкая опора на источники, пометка аналитика, отметка оператора. Состав: запрос, ответ, тематика, канал, оператор; переход в карточку диалога. Формулы: число таких диалогов; доля = число диалогов с галлюцинацией / число всех диалогов с ответом LLM за период × 100%. Фильтры: период, канал, тематика, оператор. Вид: таблица кейсов. Приёмка: UC-REP-CC-01, RPT-T-08.	4.7.4.9.2
FR-RPT-CC-19	Модуль Контакт-центра позволять строить статистические диаграммы, а также выгружать их в формате .png, .csv, .xlsx, .docх и других. Модуль Контакт-центра должен уметь формировать статистику в виде сводных таблиц, графиков, диаграмм.	Для отчётов модуля «Отчётность» доступны представления: сводные таблицы, графики, диаграммы; выгрузка .png, .csv, .xlsx, .docx и иных согласованных форматов. Приёмка: RPT-T-09.	4.7.5, 4.7.7
FR-RPT-CC-20	Модуль Контакт-центра должен генерировать отчеты регулярно (ежедневно, еженедельно, ежемесячно), а также по запросу.	Расписание формирования отчётов: ежедневно / еженедельно / ежемесячно и по запросу аналитика; готовый файл для скачивания или доставка по настройке. Приёмка: RPT-T-09.	4.7.6
FR-RPT-CC-21	Конструктор отчетов должен позволять: настраивать содержание отчета; добавлять или убирать определенные метрики; изменять формат представления данных; создавать собственные шаблоны отчетов для дальнейшего использования.	Конструктор отчётов (§4.7.8): аналитик настраивает содержание, добавляет/убирает метрики, меняет формат (таблица/график/диаграмма), сохраняет шаблоны. В конструкторе также доступен отчёт по диалогам с наличием/отсутствием отметки полезности, разбивкой по операторам; аналитик может проставить отметку постфактум при разборе (запись в журнале). Выгрузка .xlsx / .pdf / .csv / .docx. Приёмка: UC-REP-CC-01, RPT-T-04, RPT-T-10.	4.7.8.1–4.7.8.4
FR-RPT-CC-22	4.3.1.13. Модуль Контакт-центра должен подключаться к единой истории взаимодействий с клиентом во всех каналах коммуникации банка, анализировать её и при запросе оператора канала телефония отображать краткую выжимку (саммаризация) о предыдущих взаимодействиях с клиентом. 4.3.1.14. Ответ модуля LLM должен предоставляться клиенту на основе контекста предыдущих диалогов с данным клиентом с возможностью настройки автоматического использования или ручного вызова данного функционала.	В отчётах и карточке обращения — единая лента событий телефонии (Oktell) и онлайн-чата с указанием канала, времени и типа события. Фильтры: канал, период, идентификатор клиента. Приёмка: CHAT-T-13.	4.3.1.13, 4.3.1.14
